,District Number,District Name,School Number,School Name,Gend,Ethn,FRL,ELL,IEP,Mean Score Math,Mean Score EBRW,Zip Code,Median Family Income,Population
39,0020,adams 12 five star schools,6402,northglenn high school,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,465.833333333333,470.277777777778,80221,51699.0,40341.0
40,0020,adams 12 five star schools,6402,northglenn high school,Female,White,FRL Eligible,Not English Learners,Students without IEPs,463.684210526316,489.473684210526,80221,51699.0,40341.0
41,0020,adams 12 five star schools,6402,northglenn high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,500.27027027027,525.135135135135,80221,51699.0,40341.0
42,0020,adams 12 five star schools,6402,northglenn high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,421.785714285714,441.071428571429,80221,51699.0,40341.0
43,0020,adams 12 five star schools,6402,northglenn high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,478.666666666667,495,80221,51699.0,40341.0
44,0020,adams 12 five star schools,6402,northglenn high school,Male,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,464.375,460.3125,80221,51699.0,40341.0
45,0020,adams 12 five star schools,6402,northglenn high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,550,537.80487804878,80221,51699.0,40341.0
46,0020,adams 12 five star schools,6802,prospect ridge academy,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,571.25,604.25,80023,126327.0,17186.0
47,0020,adams 12 five star schools,6802,prospect ridge academy,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,584.666666666667,582.333333333333,80023,126327.0,17186.0
48,0020,adams 12 five star schools,1519,stargate charter school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,596.8,642,80023,126327.0,17186.0
49,0020,adams 12 five star schools,1519,stargate charter school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,641,654.5,80023,126327.0,17186.0
50,0020,adams 12 five star schools,5816,thornton high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,367,408.5,80229,54249.0,51224.0
51,0020,adams 12 five star schools,5816,thornton high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,452.857142857143,471.428571428571,80229,54249.0,51224.0
52,0020,adams 12 five star schools,5816,thornton high school,Female,Hispanic,Not FRL Eligible,English Learners,Students without IEPs,383.928571428571,422.857142857143,80229,54249.0,51224.0
53,0020,adams 12 five star schools,5816,thornton high school,Female,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,418.928571428571,450,80229,54249.0,51224.0
54,0020,adams 12 five star schools,5816,thornton high school,Female,White,Not FRL Eligible,Not English Learners,Students without IEPs,477.333333333333,483.666666666667,80229,54249.0,51224.0
55,0020,adams 12 five star schools,5816,thornton high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,411.052631578947,419.473684210526,80229,54249.0,51224.0
56,0020,adams 12 five star schools,5816,thornton high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,465,460,80229,54249.0,51224.0
57,0020,adams 12 five star schools,5816,thornton high school,Male,Hispanic,Not FRL Eligible,English Learners,Students without IEPs,390,398.4375,80229,54249.0,51224.0
58,0020,adams 12 five star schools,5816,thornton high school,Male,Hispanic,Not FRL Eligible,Not English Learners,Students without IEPs,441.842105263158,439.210526315789,80229,54249.0,51224.0
59,0020,adams 12 five star schools,5816,thornton high school,Male,White,Not FRL Eligible,Not English Learners,Students without IEPs,491.851851851852,497.407407407407,80229,54249.0,51224.0
60,0030,adams county 14,0024,adams city high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,416.037735849057,424.528301886792,80022,61075.0,45663.0
61,0030,adams county 14,0024,adams city high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,445.932203389831,464.915254237288,80022,61075.0,45663.0
62,0030,adams county 14,0024,adams city high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,409.6,416.6,80022,61075.0,45663.0
63,0030,adams county 14,0024,adams city high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,454.736842105263,466.842105263158,80022,61075.0,45663.0
64,0180,adams-arapahoe 28j,1458,aurora central high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,399,420,80010,37081.0,43999.0
65,0180,adams-arapahoe 28j,1458,aurora central high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,433.333333333333,463.333333333333,80010,37081.0,43999.0
66,0180,adams-arapahoe 28j,1458,aurora central high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,392.244897959184,392.65306122449,80010,37081.0,43999.0
67,0180,adams-arapahoe 28j,1458,aurora central high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,463.181818181818,463.181818181818,80010,37081.0,43999.0
68,0180,adams-arapahoe 28j,1458,aurora central high school,Male,Hispanic,Not FRL Eligible,English Learners,Students without IEPs,373.529411764706,392.5,80010,37081.0,43999.0
69,0180,adams-arapahoe 28j,9396,aurora west college preparatory academy,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,495.294117647059,495.882352941176,80010,37081.0,43999.0
70,0180,adams-arapahoe 28j,3354,gateway high school,Female,Hispanic,FRL Eligible,English Learners,Students without IEPs,358.823529411765,398.823529411765,80012,49744.0,48382.0
71,0180,adams-arapahoe 28j,3354,gateway high school,Female,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,441.212121212121,476.363636363636,80012,49744.0,48382.0
72,0180,adams-arapahoe 28j,3354,gateway high school,Male,Hispanic,FRL Eligible,English Learners,Students without IEPs,408.571428571429,419.642857142857,80012,49744.0,48382.0
73,0180,adams-arapahoe 28j,3354,gateway high school,Male,Hispanic,FRL Eligible,Not English Learners,Students without IEPs,435.454545454545,463.636363636364,80012,49744.0,48382.0
