,SAT Math,SAT EBRW,PSAT Math,PSAT EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
31,459.375,506.875,430.47619047619,475.714285714286,76996.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
32,505.0,540.3,472.555555555556,510.111111111111,76996.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
33,484.347826086957,502.608695652174,461.111111111111,487.777777777778,76996.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
34,532.758620689655,522.413793103448,488.214285714286,480.714285714286,76996.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
35,462.222222222222,494.444444444444,420.909090909091,430.909090909091,76996.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
36,526.881720430108,533.118279569892,482.574257425743,488.613861386139,76996.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
37,411.666666666667,421.0,433.333333333333,418.518518518519,51699.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
38,443.095238095238,455.0,,,51699.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
39,465.833333333333,470.277777777778,441.136363636364,444.772727272727,51699.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40,463.684210526316,489.473684210526,,,51699.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
41,500.27027027027,525.135135135135,468.913043478261,480.217391304348,51699.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
42,421.785714285714,441.071428571429,444.827586206897,420.0,51699.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
43,478.666666666667,495.0,,,51699.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
44,464.375,460.3125,451.052631578947,433.947368421053,51699.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
45,550.0,537.80487804878,495.192307692308,476.538461538462,51699.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
46,571.25,604.25,519.565217391304,547.608695652174,126327.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
47,584.666666666667,582.333333333333,542.121212121212,544.848484848485,126327.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
48,596.8,642.0,565.714285714286,595.714285714286,126327.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
49,641.0,654.5,575.294117647059,585.294117647059,126327.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,367.0,408.5,405.0,418.666666666667,54249.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
51,452.857142857143,471.428571428571,393.809523809524,424.285714285714,54249.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
52,383.928571428571,422.857142857143,405.945945945946,416.756756756757,54249.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
53,418.928571428571,450.0,397.826086956522,401.304347826087,54249.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
54,477.333333333333,483.666666666667,451.785714285714,472.5,54249.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
55,411.052631578947,419.473684210526,416.4,416.4,54249.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
56,465.0,460.0,438.823529411765,392.941176470588,54249.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
57,390.0,398.4375,410.571428571429,386.857142857143,54249.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
58,441.842105263158,439.210526315789,420.0,417.5,54249.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
59,491.851851851852,497.407407407407,455.51724137931,446.896551724138,54249.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
60,416.037735849057,424.528301886792,417.075471698113,417.169811320755,61075.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
61,445.932203389831,464.915254237288,420.0,411.071428571429,61075.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
62,409.6,416.6,410.847457627119,401.101694915254,61075.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
63,454.736842105263,466.842105263158,409.642857142857,397.857142857143,61075.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
