,Mean Score Math,Mean Score EBRW,Median Family Income,Gend_Female,Gend_Male,Ethn_Asian,Ethn_Black,Ethn_Hispanic,Ethn_Two or More Races,Ethn_White,FRL_FRL Eligible,FRL_Not FRL Eligible,ELL_English Learners,ELL_Not English Learners,IEP_Students with IEPs,IEP_Students without IEPs
174,2.4745386579618076,2.1961910114850323,1.44796267008716,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
526,-0.339920275951181,-0.4429421760276237,-0.7298487880486617,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
368,-1.3317913141310944,-1.2096026344252513,-1.5438210946059534,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
57,-1.8953544040060413,-2.033946478631565,-0.9529410789659695,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
286,0.10969740168967707,0.1807737964217619,-0.11340107312422848,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
60,-1.4734795815383248,-1.592638007558894,-0.6776648718434926,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
30,-0.6187986170923271,-0.15206693052990863,-0.03560913003321501,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
488,-0.048276376940894684,0.2674597451350663,0.3562541727222945,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
448,0.20359789947708656,0.3835535655848077,0.5168386814773052,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
154,1.5548119829783869,1.7036854779058486,1.44796267008716,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
235,0.00604944738455758,0.24606809064627214,-1.0025037010804616,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
577,-0.029460641520870297,0.5951067141505697,-0.7618285759549208,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
59,-0.24510600425647616,-0.3599366605478631,-0.9529410789659695,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
