,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
61,0470,st vrain valley re 1j,8927,twin peaks charter academy,529,517,1046,476,470,946,80501,52986.0,41201.0
62,0480,boulder valley re 2,0924,boulder high school,580,559,1140,544,525,1068,80302,111399.0,28003.0
63,0480,boulder valley re 2,1070,broomfield high school,538,537,1075,502,492,994,80020,91801.0,49118.0
64,0480,boulder valley re 2,1380,centaurus high school,559,553,1112,529,515,1044,80026,86082.0,27389.0
65,0480,boulder valley re 2,2892,fairview high school,611,612,1222,571,565,1136,80305,126058.0,17401.0
66,0480,boulder valley re 2,5999,monarch high school,577,564,1140,533,520,1052,80027,119674.0,31946.0
67,0480,boulder valley re 2,6195,new vista high school,564,504,1068,512,468,980,80302,111399.0,28003.0
68,0480,boulder valley re 2,6212,nederland middle-senior high school,521,508,1029,498,491,989,80466,94674.0,3269.0
69,0480,boulder valley re 2,6816,peak to peak charter school,631,618,1249,590,565,1155,80026,86082.0,27389.0
70,0490,buena vista r-31,1130,buena vista high school,519,495,1013,488,465,953,81211,56250.0,7364.0
71,0500,salida r-32,7568,salida high school,541,521,1062,520,489,1009,81201,56779.0,8888.0
72,0540,clear creek re-1,4216,clear creek high school,544,525,1068,480,464,944,80439,117369.0,23746.0
73,0550,north conejos re-1j,1378,centauri high school,503,511,1015,483,470,953,81140,57308.0,2718.0
74,0560,sanford 6j,7616,sanford junior/senior high school,541,497,1038,489,472,961,81151,54821.0,1362.0
75,0770,crowley county re-1-j,2058,crowley county junior and senior high school,490,478,968,456,447,903,81063,41875.0,2478.0
76,0860,custer county school district c-1,2092,custer county high school,507,498,1005,475,446,921,81252,38542.0,3756.0
77,0870,delta county 50(j),1372,cedaredge high school,527,500,1027,499,481,980,81413,46949.0,5016.0
78,0870,delta county 50(j),2164,delta high school,497,483,980,454,461,915,81416,53020.0,13787.0
79,0870,delta county 50(j),2166,vision charter academy,470,447,917,457,432,889,81416,53020.0,13787.0
80,0870,delta county 50(j),4128,hotchkiss high school,501,468,969,467,449,916,81419,57188.0,3789.0
81,0870,delta county 50(j),6708,paonia high school,545,514,1059,494,454,948,,,
82,0880,denver county 1,0010,abraham lincoln high school,427,433,860,391,417,808,80219,41218.0,65449.0
83,0880,denver county 1,0040,ridge view academy charter school,429,412,841,390,389,778,80137,106250.0,1153.0
84,0880,denver county 1,1295,collegiate preparatory academy,439,438,876,403,407,810,80239,45593.0,43211.0
85,0880,denver county 1,1319,career education center early college,460,462,922,440,427,866,80211,75067.0,32797.0
86,0880,denver county 1,1489,compassion road academy,478,431,908,408,405,813,80204,37418.0,31133.0
87,0880,denver county 1,2145,dsst: green valley ranch high school,541,570,1111,484,499,983,80249,72969.0,27505.0
88,0880,denver county 1,2175,dsst: cole high school,518,529,1047,501,501,1002,80205,51140.0,30956.0
89,0880,denver county 1,2183,denver center for international studies,550,517,1067,506,474,980,80204,37418.0,31133.0
90,0880,denver county 1,2184,denver school of the arts,617,583,1200,578,532,1110,80220,90430.0,36162.0
91,0880,denver county 1,2185,dsst: stapleton high school,571,593,1164,530,537,1067,80238,155777.0,11965.0
92,0880,denver county 1,2209,dcis at montbello,436,451,888,392,422,814,80239,45593.0,43211.0
93,0880,denver county 1,2398,east high school,561,546,1107,515,498,1013,80206,129514.0,21295.0
94,0880,denver county 1,2755,venture prep high school,466,428,894,430,418,848,,,
95,0880,denver county 1,2757,high tech early college,446,447,893,409,419,827,80239,45593.0,43211.0
96,0880,denver county 1,3378,george washington high school,520,507,1027,471,464,936,80224,68884.0,17454.0
97,0880,denver county 1,3540,girls athletic leadership school high school,508,481,989,466,437,903,80204,37418.0,31133.0
98,0880,denver county 1,4444,john f kennedy high school,455,444,899,425,429,854,80227,69170.0,34139.0
99,0880,denver county 1,4494,denver justice high school,403,399,803,377,380,757,80203,76394.0,20214.0
100,0880,denver county 1,4730,kipp denver collegiate high school,472,474,945,457,436,893,80223,42351.0,17912.0
101,0880,denver county 1,4795,kunsmiller creative arts academy,461,420,882,447,416,863,80219,41218.0,65449.0
102,0880,denver county 1,5448,manual high school,438,433,871,421,411,832,80205,51140.0,30956.0
103,0880,denver county 1,5605,dr. martin luther king jr. early college,434,430,865,389,413,802,80249,72969.0,27505.0
104,0880,denver county 1,5844,contemporary learning academy,393,390,782,386,384,770,80203,76394.0,20214.0
105,0880,denver county 1,6239,noel community arts school,424,419,843,402,414,817,80239,45593.0,43211.0
106,0880,denver county 1,6314,north high school,468,452,920,408,411,819,80211,75067.0,32797.0
107,0880,denver county 1,6350,bruce randolph school,453,438,891,405,407,812,80205,51140.0,30956.0
108,0880,denver county 1,6509,denver online high school,535,499,1035,489,466,955,80211,75067.0,32797.0
109,0880,denver county 1,8086,south high school,493,483,977,452,446,899,80210,102043.0,35974.0
110,0880,denver county 1,8132,southwest early college,480,480,960,445,441,887,,,
111,0880,denver county 1,8145,summit academy,404,403,807,372,385,757,80227,69170.0,34139.0
112,0880,denver county 1,8347,strive prep - excel,460,459,920,408,428,836,,,
113,0880,denver county 1,8822,thomas jefferson high school,525,516,1042,480,474,954,80237,96190.0,18445.0
114,0880,denver county 1,8995,vista academy,416,413,829,386,395,780,80249,72969.0,27505.0
115,0880,denver county 1,9639,strive prep - smart academy,458,469,926,423,434,858,80219,41218.0,65449.0
116,0880,denver county 1,9693,west early college,442,451,894,413,418,831,80204,37418.0,31133.0
117,0880,denver county 1,9702,west leadership academy,418,432,850,401,409,810,80204,37418.0,31133.0
118,0900,douglas county re 1,1367,castle view high school,534,517,1051,500,485,985,80109,116023.0,18986.0
119,0900,douglas county re 1,1503,chaparral high school,543,546,1090,504,500,1004,80138,114291.0,30693.0
120,0900,douglas county re 1,2230,douglas county high school,527,529,1056,493,488,980,80104,91548.0,28558.0
121,0900,douglas county re 1,3980,highlands ranch high school,547,551,1098,502,501,1003,80130,117202.0,28764.0
122,0900,douglas county re 1,3995,hope online learning academy high school,425,400,825,401,402,803,80112,96200.0,30342.0
123,0900,douglas county re 1,4271,legend high school,536,521,1057,496,480,975,80138,114291.0,30693.0
124,0900,douglas county re 1,5259,stem school highlands ranch,622,610,1232,573,563,1136,80129,115027.0,28112.0
125,0900,douglas county re 1,6165,mountain vista high school,570,565,1135,525,517,1042,80126,126979.0,41667.0
126,0900,douglas county re 1,6365,skyview academy,573,576,1149,521,514,1035,80124,116382.0,19276.0
127,0900,douglas county re 1,7118,ponderosa high school,529,528,1058,497,486,982,80134,112653.0,58232.0
128,0900,douglas county re 1,7435,rock canyon high school,585,570,1155,539,522,1061,80124,116382.0,19276.0
129,0900,douglas county re 1,8847,thunderridge high school,554,563,1117,507,504,1011,80129,115027.0,28112.0
130,0910,eagle county re 50,0604,battle mountain high school,504,487,991,466,456,922,81620,69788.0,10767.0
131,0910,eagle county re 50,2350,eagle valley high school,506,493,999,469,461,929,81637,91049.0,8009.0
132,0910,eagle county re 50,9061,vail ski and snowboard academy (vssa),642,597,1239,553,536,1088,81645,83438.0,1154.0
133,0920,elizabeth c-1,2608,elizabeth high school,508,495,1002,480,462,943,80107,91141.0,12575.0
134,0940,big sandy 100j,7922,simla high school,506,500,1006,462,467,929,80835,70337.0,843.0
135,0970,calhan rj-1,1218,calhan high school,484,453,938,451,416,867,80808,66690.0,6053.0
136,0980,harrison 2,0469,atlas preparatory high school,489,464,953,464,424,888,80916,44775.0,38632.0
137,0980,harrison 2,3806,harrison high school,482,466,948,456,437,893,80906,76185.0,36846.0
138,0980,harrison 2,4378,james irwin charter high school,547,544,1091,519,504,1023,80916,44775.0,38632.0
139,0980,harrison 2,7882,sierra high school,464,445,909,437,415,852,80916,44775.0,38632.0
140,0990,widefield 3,5841,mesa ridge high school,489,484,973,459,457,916,80911,62236.0,31912.0
141,0990,widefield 3,9566,widefield high school,479,477,955,453,451,903,80911,62236.0,31912.0
142,1000,fountain 8,0203,welte education center,433,391,824,402,392,794,80817,65877.0,28157.0
