,District Number,District Name,School Number,School Name,2018 EBRW Mean SAT,2018 Math Mean SAT,2018 Overall Mean Score SAT,2017 EBRW Mean PSAT10,2017 Math Mean PSAT10,2017 Overall Mean Score PSAT10,Zip Code,Median Family Income,Population
270,2600,platte canyon 1,7046,platte canyon high school,508,484,992,475,458,933,80421,76455.0,8189.0
271,2610,park county re-2,8118,south park high school,494,479,973,471,460,932,80440,80795.0,2353.0
272,2640,aspen 1,0432,aspen high school,570,563,1134,509,508,1017,81611,96010.0,9821.0
273,2660,lamar re-2,4960,lamar high school,446,432,877,415,415,830,81052,44846.0,9239.0
274,2670,holly re-3,4058,holly high school,497,522,1019,472,487,959,81047,48650.0,1637.0
275,2690,pueblo city 60,1402,centennial high school,491,462,954,450,439,889,81008,58988.0,10379.0
276,2690,pueblo city 60,1454,central high school,441,423,864,418,414,832,81004,39455.0,25705.0
277,2690,pueblo city 60,1488,chavez/huerta k-12 preparatory academy,480,468,948,475,460,935,81003,39597.0,15709.0
278,2690,pueblo city 60,2394,east high school,470,457,927,436,429,865,81001,36948.0,29614.0
279,2690,pueblo city 60,8082,south high school,481,460,941,449,439,889,81005,57628.0,30692.0
280,2700,pueblo county 70,5990,70 online,425,398,823,426,409,835,81001,36948.0,29614.0
281,2700,pueblo county 70,7208,pueblo county high school,500,491,991,471,456,927,81006,61491.0,11762.0
282,2700,pueblo county 70,7214,pueblo west high school,501,478,978,473,453,927,81007,69723.0,30674.0
283,2700,pueblo county 70,7534,rye high school,547,544,1090,497,513,1010,81069,86250.0,1554.0
284,2700,pueblo county 70,7879,swallows charter academy high school,540,497,1037,498,475,973,81007,69723.0,30674.0
285,2710,meeker re1,5762,meeker high school,498,512,1010,473,489,962,81641,70132.0,3603.0
286,2720,rangely re-4,7276,rangely junior/senior high school,500,476,975,464,444,908,81648,79297.0,2677.0
287,2730,del norte c-7,2150,del norte high school,479,474,953,477,460,938,81132,38083.0,3249.0
288,2740,monte vista c-8,6046,monte vista senior high school,469,449,918,437,427,864,81144,49617.0,7015.0
289,2750,sargent re-33j,7664,sargent senior high school,495,463,957,474,428,902,81144,49617.0,7015.0
290,2760,hayden re-1,3862,hayden high school,538,499,1037,502,475,976,81639,72500.0,2289.0
291,2770,steamboat springs re-2,8212,steamboat springs high school,547,547,1094,510,513,1023,80487,77336.0,16944.0
292,2780,south routt re 3,8050,soroco high school,532,529,1061,478,477,955,80467,85441.0,2173.0
293,2810,center 26 jt,1420,center high school,432,420,852,405,411,816,81125,43250.0,3251.0
294,2830,telluride r-1,8794,telluride high school,561,555,1117,528,526,1054,81435,83438.0,5260.0
295,2840,norwood r-2j,6422,norwood public schools,519,499,1018,477,484,961,81423,68676.0,1527.0
296,2862,julesburg re-1,4369,destinations career academy of colorado,483,457,940,478,448,926,80031,79205.0,35081.0
297,3000,summit re-1,8378,summit high school,517,520,1038,482,480,962,80443,78889.0,3345.0
298,3020,woodland park re-2,9696,woodland park high school,507,503,1010,472,464,936,80866,,
299,3080,weld county re-1,9032,valley high school,469,453,922,445,430,875,80623,44688.0,976.0
300,3085,eaton re-2,2456,eaton high school,509,513,1022,479,464,944,80615,68148.0,7694.0
301,3090,weld county school district re-3j,1446,weld central senior high school,456,455,911,427,430,857,80643,78438.0,3331.0
302,3100,windsor re-4,9393,windsor charter academy middle and early college h,538,520,1058,531,491,1022,80550,93024.0,22406.0
303,3100,windsor re-4,9672,windsor high school,523,518,1042,490,476,966,80550,93024.0,22406.0
304,3110,johnstown-milliken re-5j,7490,roosevelt high school,503,501,1004,469,460,929,80534,81029.0,13068.0
305,3120,greeley 6,1875,frontier charter academy,549,524,1074,522,487,1009,80634,68889.0,55464.0
306,3120,greeley 6,2657,early college academy,502,501,1004,464,470,934,80631,39278.0,50466.0
307,3120,greeley 6,2850,university schools,512,507,1019,469,462,931,80634,68889.0,55464.0
308,3120,greeley 6,3610,greeley central high school,465,448,913,428,424,852,80631,39278.0,50466.0
309,3120,greeley 6,3614,greeley west high school,464,448,912,434,423,857,80634,68889.0,55464.0
310,3120,greeley 6,4425,jefferson junior/senior high,428,415,843,384,390,774,80631,39278.0,50466.0
311,3120,greeley 6,6364,northridge high school,458,435,893,429,423,852,80634,68889.0,55464.0
312,3120,greeley 6,8965,union colony preparatory school,509,519,1028,483,470,954,80634,68889.0,55464.0
313,3130,platte valley re-7,4670,platte valley high school,496,502,998,465,461,926,80644,70938.0,3104.0
314,3140,weld county s/d re-8,3070,fort lupton high school,453,438,891,420,419,840,80621,60168.0,11924.0
315,3145,ault-highland re-9,3962,highland high school,465,464,929,447,444,891,80610,61570.0,2732.0
316,3200,yuma 1,9799,yuma high school,466,468,934,440,446,886,80759,52367.0,4670.0
317,3210,wray rd-2,9733,wray high school,472,456,928,459,439,898,80758,56373.0,3899.0
318,8001,charter school institute,0015,academy of charter schools,528,500,1028,487,466,953,80031,79205.0,35081.0
319,8001,charter school institute,0075,animas high school,556,508,1064,492,447,939,81302,,
320,8001,charter school institute,1279,caprock academy,534,498,1032,494,463,956,81505,68830.0,8919.0
321,8001,charter school institute,1795,colorado springs early colleges,562,545,1107,529,506,1036,80907,55404.0,27265.0
322,8001,charter school institute,2067,colorado early college fort collins,572,540,1111,515,497,1012,80525,85047.0,49259.0
323,8001,charter school institute,2196,colorado early colleges - parker,598,579,1177,565,544,1109,80138,114291.0,30693.0
324,8001,charter school institute,2837,early college of arvada,498,463,961,438,441,879,80003,66810.0,35797.0
325,8001,charter school institute,4699,new america school - thornton,390,381,771,364,381,744,80229,54249.0,51224.0
326,8001,charter school institute,6219,new america school - lowry,388,377,765,376,370,745,80230,112604.0,8393.0
327,8001,charter school institute,6266,new legacy charter school,407,405,812,368,393,762,80010,37081.0,43999.0
328,8001,charter school institute,6914,the pinnacle charter school high,474,464,938,446,438,885,80260,42860.0,33835.0
329,8001,charter school institute,8825,thomas maclaren state charter school,633,610,1243,589,556,1145,80915,59594.0,20237.0
330,8001,charter school institute,9037,victory preparatory academy high state charter sch,511,521,1032,480,488,968,80022,61075.0,45663.0
331,9030,colorado river boces,6134,yampah mountain school,431,393,824,411,400,812,81601,76737.0,16368.0
332,9130,expeditionary boces,2840,rocky mountain school of expeditionary learning,570,526,1095,535,471,1006,80222,67281.0,20673.0
333,9170,colorado digital boces,1550,colorado prep academy,529,502,1031,500,470,970,80031,79205.0,35081.0
334,9170,colorado digital boces,6971,pikes peak online school,433,406,839,425,394,819,80031,79205.0,35081.0
